Month,ETH,BTC
1,1907.256592,27249.589844
2,1937.438354,30620.769531
3,1839.089722,29151.958984
4,1637.025391,25868.798828
5,1663.627563,27530.785156
6,1800.620972,34938.242188
7,2165.704102,39476.332031
8,2355.836426,44957.96875
9,2308.038086,43185.859375
10,3422.049805,62029.847656
11,3277.234619,65446.972656
12,2936.491211,57733.3125
